t_index	 term	df
3605  cruman  1
3606  crumbl  21
3607  crumpl  3
3608  crusad  4
3609  crush  22
3610  crust  1
3611  crutch  6
3612  cruz  1
3613  cryptic  1
3614  crystal  2
3615  cs  1
3616  cuba  9
3617  cuban  2
3618  cubanamerican  2
3619  cue  1
3620  cuellar  6
3621  culdesac  1
3622  culmin  8
3623  culpabl  1
3624  culprit  9
3625  cultiv  2
3626  cultur  11
3627  cummin  2
3628  cun  5
3629  cuomo  3
3630  cup  9
3631  cupboard  1
3632  curb  4
3633  curdl  1
3634  cure  1
3635  curfew  10
3636  curios  2
3637  curiou  9
3638  currenc  2
3639  current  52
3640  curriculum  4
3641  curs  4
3642  cursori  1
3643  curt  2
3644  curtail  4
3645  curtain  3
3646  curti  3
3647  curv  3
3648  cush  2
3649  cusp  1
3650  cussin  2
3651  custodi  21
3652  custodian  3
3653  custom  9
3654  customari  2
3655  cut  113
3656  cutback  1
3657  cutigua  1
3658  cutter  7
3659  cw  1
3660  cybercaf  1
3661  cybernet  1
3662  cycl  3
3663  cyclon  1
3664  cylind  1
3665  cylindr  1
3666  cynic  9
3667  cypru  1
3668  cyr  1
3669  czarist  1
3670  czaristera  1
3671  czech  14
3672  czechoslovakian  1
3673  d  12
3674  da  2
3675  dad  11
3676  dada  1
3677  dadiv  1
3678  daejung  5
3679  daewoo  5
3680  dagestan  3
3681  dagger  3
3682  daili  29
3683  daja  2
3684  dakota  19
3685  dakotan  1
3686  dakouri  1
3687  dalal  1
3688  dale  2
3689  daley  7
3690  dalla  30
3691  dallasarea  5
3692  dallasbas  2
3693  dallasfort  2
3694  dalworthington  1
3695  dam  1
3696  damag  154
3697  damascu  2
3698  dame  1
3699  damir  3
3700  dammaj  1
3701  damor  1
3702  damp  1
3703  dampen  2
3704  dan  18
3705  dana  2
3706  danah  4
3707  danburi  1
3708  danc  11
3709  dancer  3
3710  dandelion  1
3711  dane  1
3712  danewich  1
3713  danforth  3
3714  danger  103
3715  dangl  2
3716  daniel  19
3717  daniela  6
3718  daniil  2
3719  danni  1
3720  danzig  4
3721  daoud  1
3722  dapist  1
3723  dar  5
3724  darden  1
3725  dare  15
3726  daren  7
3727  dark  28
3728  darken  3
3729  darkhair  2
3730  darl  1
3731  darn  1
3732  darrel  2
3733  dart  1
3734  darwinian  1
3735  daschl  11
3736  dash  4
3737  dashboard  1
3738  data  4
3739  date  27
3740  datelin  7
3741  daughter  54
3742  daughterinlaw  2
3743  daunt  6
3744  dave  18
3745  davenport  44
3746  davi  4
3747  david  58
3748  davidian  2
3749  davidstyl  1
3750  dawn  21
3751  day  456
3752  daybreak  3
3753  daybyday  1
3754  dayeb  1
3755  daylight  4
3756  daytoday  2
3757  dayton  9
3758  daytona  1
3759  daytonhudson  3
3760  daze  4
3761  dazesurvivor  1
3762  dc  13
3763  dc10  1
3764  dcalif  1
3765  dconn  3
3766  dd21  1
3767  dday  1
3768  de  17
3769  dea  1
3770  deactiv  2
3771  dead  164
3772  deadli  53
3773  deadliest  16
3774  deadlin  13
3775  deadlock  3
3776  deadon  1
3777  deaf  1
3778  deal  98
3779  dealt  6
3780  dean  5
3781  dear  5
3782  dearborn  1
3783  dearli  3
3784  death  210
3785  deathdefi  1
3786  deathrow  1
3787  debar  1
3788  debat  65
3789  debbi  5
3790  deborah  3
3791  debra  2
3792  debri  47
3793  debt  14
3794  debut  1
3795  dec  48
3796  decad  81
3797  decadesold  2
3798  decay  2
3799  deceas  8
3800  deceit  1
3801  decemb  79
3802  decent  2
3803  decentr  3
3804  decept  1
3805  decibel  1
3806  decid  103
3807  decidedli  1
3808  decis  173
3809  decisionmak  2
3810  deck  44
3811  declar  99
3812  declassifi  2
3813  declin  48
3814  decod  2
3815  decompos  1
3816  decor  2
3817  decrat  2
3818  decre  2
3819  decri  3
3820  ded  1
3821  dedic  9
3822  dedinj  5
3823  dee  1
3824  deed  3
3825  deem  8
3826  deep  42
3827  deepen  5
3828  deeper  3
3829  deepest  1
3830  deepli  23
3831  deepsea  4
3832  deepseat  2
3833  deepwat  6
3834  defac  1
3835  default  2
3836  defeat  143
3837  defect  2
3838  defenc  3
3839  defend  121
3840  defens  153
3841  defer  2
3842  defi  5
3843  defianc  7
3844  defiant  6
3845  defiantli  2
3846  defici  1
3847  deficit  11
3848  defin  7
3849  definit  37
3850  deflat  1
3851  deflect  5
3852  defoli  1
3853  defolt  1
3854  deforest  10
3855  defraud  3
3856  defunct  1
3857  defus  3
3858  degr  1
3859  degrad  4
3860  degre  23
3861  dehuman  1
3862  dehydr  3
3863  del  11
3864  delawar  25
3865  delay  34
3866  deleg  10
3867  delhi  17
3868  deli  1
3869  deliber  15
3870  delic  7
3871  delici  1
3872  delight  5
3873  deliv  36
3874  deliveri  2
3875  dell  1
3876  delsaut  2
3877  delta  9
3878  delus  2
3879  delv  1
3880  demaci  1
3881  demagogu  2
3882  demand  75
3883  demarc  1
3884  demean  1
3885  demeanor  2
3886  dementieva  5
3887  demick  1
3888  demilitar  1
3889  demis  6
3890  democraci  72
3891  democrat  188
3892  democratich  1
3893  demograph  1
3894  demolish  4
3895  demolit  5
3896  demon  4
3897  demonstr  88
3898  demot  2
3899  demur  1
3900  demystifi  1
3901  dengu  1
3902  deni  95
3903  denial  5
3904  denigr  1
3905  denis  14
3906  denisa  3
3907  denn  1
3908  denni  8
3909  denomin  1
3910  denounc  13
3911  dens  4
3912  dent  2
3913  dental  1
3914  denver  21
3915  depart  180
3916  departur  20
3917  depend  34
3918  depict  1
3919  deplan  1
3920  deplet  2
3921  deplor  2
3922  deploy  22
3923  deport  3
3924  deportieren  1
3925  depos  7
3926  deposit  4
3927  depot  4
3928  depress  3
3929  depriv  1
3930  depth  12
3931  deputi  46
3932  dequia  2
3933  derail  1
3934  derelict  1
3935  deriv  3
3936  desai  1
3937  descend  18
3938  descent  9
3939  describ  80
3940  descript  8
3941  desegreg  1
3942  desert  31
3943  desertstyl  3
3944  deserv  15
3945  deservedli  2
3946  design  34
3947  designe  1
3948  desir  15
3949  desirepaulin  1
3950  desist  3
3951  desk  6
3952  desol  1
3953  despair  6
3954  desper  39
3955  despic  12
3956  despis  3
3957  despit  116
3958  despot  1
3959  destabil  3
3960  destin  10
3961  destini  1
3962  destitut  1
3963  destroy  227
3964  destruct  27
3965  desvid  1
3966  detach  3
3967  detail  89
3968  detain  31
3969  detaine  2
3970  detat  7
3971  detect  14
3972  detector  1
3973  detent  10
3974  deter  15
3975  deterg  1
3976  deterior  11
3977  determin  101
3978  deterr  2
3979  detest  1
3980  deton  30
3981  detour  4
3982  detritu  1
3983  detroit  3
3984  deuc  12
3985  deutch  8
3986  deutsch  1
3987  devast  58
3988  devastatingli  1
3989  develop  97
3990  deviat  1
3991  devic  15
3992  devilish  1
3993  devis  1
3994  devot  15
3995  devour  2
3996  devoutli  1
3997  dewat  2
3998  dewin  2
3999  dga  2
4000  dhabi  4
4001  dhahran  12
4002  dharan  1
4003  dhingra  1
4004  dhrumal  1
4005  diabak  1
4006  diagnos  5
4007  diagnosi  1
4008  diagnost  1
4009  diagnostico  1
4010  diagram  1
4011  dialect  1
4012  diallo  2
4013  dialo  3
4014  dialogu  8
4015  diamet  3
4016  diamond  3
4017  dian  2
4018  diann  3
4019  diari  1
4020  diarrhea  2
4021  diaz  2
4022  dick  36
4023  dickinson  1
4024  dictablanda  1
4025  dictadura  1
4026  dictat  29
4027  dictatori  3
4028  dictatorship  10
4029  diction  4
4030  dictionari  1
4031  dictment  1
4032  did  36
4033  didnt  1
4034  die  192
4035  diego  5
4036  dienstbier  2
4037  diesel  2
4038  diet  3
4039  differ  107
4040  difficult  84
4041  difficulti  21
4042  diffus  1
4043  dig  49
4044  digest  1
4045  digger  3
4046  digit  2
4047  dignitari  5
4048  digniti  8
4049  dilapid  1
4050  dilemma  4
4051  dilfer  1
4052  dilig  1
4053  dilut  1
4054  dime  1
4055  dimens  2
4056  diminish  5
4057  diminut  1
4058  dimitr  1
4059  dimitri  2
4060  dimmer  1
4061  dina  1
4062  dinar  2
4063  dind  3
4064  dine  8
4065  dinghi  4
4066  dingi  1
4067  dinh  2
4068  dinkic  3
4069  dinner  10
4070  dioulo  1
4071  dip  2
4072  diplomaci  8
4073  diplomat  69
4074  diplospeak  4
4075  dire  1
4076  direct  75
4077  directli  40
4078  director  101
4079  directorgener  2
4080  diring  1
4081  dirksen  1
4082  dirt  33
4083  dirtentrust  1
4084  dirti  11
4085  dirtiest  1
4086  dirtpack  1
4087  dirtpoor  3
4088  disabl  4
4089  disadvantag  1
4090  disaffect  1
4091  disagr  3
4092  disagre  8
4093  disappear  24
4094  disappoint  25
4095  disapprov  1
4096  disarm  1
4097  disarma  1
4098  disarray  2
4099  disassembl  1
4100  disast  76
4101  disastr  8
4102  disband  6
4103  disbar  4
4104  disbelief  5
4105  disc  1
4106  discard  2
4107  discharg  3
4108  disciplin  13
4109  disciplinari  6
4110  disclos  12
4111  disclosur  7
4112  discomfort  4
4113  discont  2
4114  discontinu  1
4115  discord  2
4116  discothequ  1
4117  discount  1
4118  discourag  7
4119  discov  37
4120  discoveri  12
4121  discovi  1
4122  discredit  10
4123  discreet  1
4124  discrep  4
4125  discret  4
4126  discrimin  2
4127  discuss  75
4128  disdain  4
4129  diseas  9
4130  disenfranchis  3
4131  disgaz  1
4132  disgrac  12
4133  disgruntl  5
4134  disguis  9
4135  disgust  1
4136  dish  1
4137  dishdasha  1
4138  dishearten  2
4139  dishonor  2
4140  disillus  2
4141  disinfect  5
4142  disinform  1
4143  disintegr  10
4144  dislik  1
4145  disloc  2
4146  dislodg  2
4147  dismal  1
4148  dismantl  8
4149  dismay  3
4150  dismemb  1
4151  dismiss  32
4152  disobedi  14
4153  disord  3
4154  disori  2
4155  dispar  4
4156  disparag  2
4157  dispatch  26
4158  dispel  2
4159  dispens  1
4160  dispers  13
4161  displac  2
4162  display  29
4163  displeas  1
4164  displeasur  1
4165  dispos  12
4166  disposit  1
4167  disprov  2
4168  disput  33
4169  disqualifi  6
4170  disquiet  1
4171  disregard  5
4172  disreput  1
4173  disrespect  2
4174  disrupt  9
4175  dissect  1
4176  dissemin  4
4177  dissent  5
4178  dissid  6
4179  dissip  1
4180  dissolv  12
4181  dissuas  1
4182  distanc  16
4183  distant  7
4184  distinct  7
4185  distinctli  1
4186  distinguish  7
4187  distort  6
4188  distract  8
4189  distraught  13
4190  distress  4
4191  distribut  26
4192  district  38
4193  distrust  1
4194  disturb  9
4195  disun  2
4196  ditch  2
4197  dive  21
4198  diver  67
4199  divers  8
4200  diversifi  1
4201  divert  8
4202  divid  33
4203  divis  26
4204  divorc  3
4205  divulg  4
4206  dixvil  1
4207  dizzi  2
4208  djahouri  1
4209  djibouti  20
4210  djikal  1
4211  djila  1
4212  djindjic  17
4213  djindjickostunica  1
4214  djukanov  3
4215  djuro  1
4216  dk  1
4217  dmass  3
4218  dmich  1
4219  dmitri  12
4220  dmo  1
4221  dmon  1
4222  dna  5
4223  dnevnik  1
4224  dni  2
4225  do  77
4226  doan  1
4227  dobrica  1
4228  dochterman  1
4229  dock  42
4230  docksid  2
4231  doctor  51
4232  doctrin  1
4233  document  44
4234  documentari  1
4235  dodg  1
4236  dodgi  3
4237  doe  10
4238  doer  1
4239  doesnt  4
4240  dog  32
4241  dogged  1
4242  doggedli  1
4243  doha  1
4244  dokic  9
4245  doll  1
4246  dollar  37
4247  dolphin  1
4248  domain  1
4249  dome  2
4250  domest  16
4251  domin  38
4252  dominican  1
4253  dominik  16
4254  dominikov  4
4255  dominion  2
4256  dominiqu  1
4257  domino  2
4258  dominolik  1
4259  don  5
4260  donald  35
4261  donaldson  2
4262  donat  19
4263  done  109
4264  dong  1
4265  donkey  1
4266  donna  2
4267  donor  11
4268  donoth  1
4269  dont  14
4270  dooda  1
4271  doom  9
4272  door  47
4273  doortodoor  1
4274  doorway  2
4275  dopher  1
4276  dora  1
4277  dorcol  1
4278  doreen  1
4279  dori  1
4280  dormitori  1
4281  dorothi  3
4282  dose  1
4283  doss  1
4284  dostoyevski  1
4285  dot  3
4286  doubl  35
4287  doublecheck  1
4288  doubled  1
4289  doubledigit  1
4290  doublefault  11
4291  doubt  50
4292  doudou  1
4293  doug  1
4294  dougal  9
4295  dougherti  2
4296  dougla  1
4297  dour  2
4298  dove  1
4299  dover  24
4300  dow  2
4301  down  83
4302  downbeat  1
4303  downcorrect  1
4304  downfal  19
4305  downplay  3
4306  downpour  1
4307  downstair  2
4308  downthemiddl  1
4309  downtown  29
4310  dows  1
4311  doyal  1
4312  doze  1
4313  dozen  112
4314  dozo  1
4315  dr  8
4316  draconian  2
4317  draft  16
4318  drag  15
4319  dragan  6
4320  dragana  1
4321  dragesa  1
4322  dragisha  1
4323  dragoljub  8
4324  dragomir  2
4325  dragon  2
4326  drain  8
4327  drama  13
4328  draman  15
4329  dramat  33
4330  drape  12
4331  draper  2
4332  draskov  4
4333  drastic  1
4334  draw  48
4335  drawn  17
4336  dread  1
4337  dream  20
4338  dress  24
4339  dresser  1
4340  drew  23
4341  drexel  1
4342  dri  16
4343  driedup  1
4344  drift  3
4345  drill  8
4346  drink  13
4347  drip  1
4348  drissa  3
4349  drive  61
4350  driven  16
4351  driver  24
4352  driveway  1
4353  drizzl  1
4354  drizzli  1
4355  drop  51
4356  dropin  1
4357  drought  2
4358  drove  22
4359  drown  6
4360  drub  1
4361  drudg  1
4362  drug  41
4363  drugli  1
4364  drugmak  1
4365  drum  1
4366  drumbeat  2
4367  drummer  2
4368  drunk  3
4369  drunken  1
4370  drydock  1
4371  dsd  2
4372  dsedalia  1
4373  du  1
4374  dual  1
4375  duan  1
4376  dub  3
4377  dubai  5
4378  dubiou  1
4379  duboc  1
4380  duc  7
4381  duck  2
4382  duct  6
4383  dudley  12
4384  due  38
4385  duel  3
4386  duffel  2
4387  duffi  4
4388  duffl  1
4389  dug  21
4390  duglon  1
4391  duguid  2
4392  dugup  1
4393  duke  1
4394  dull  1
4395  duluth  1
4396  duma  1
4397  dump  12
4398  duo  1
4399  duopoli  1
4400  dupe  1
4401  duplic  1
4402  durango  2
4403  dure  1
4404  duress  1
4405  dusan  1
4406  dusk  2
4407  dust  13
4408  dusti  11
4409  dutch  3
4410  duti  27
4411  duval  1
4412  dwarf  1
4413  dwell  2
4414  dwi  1
4415  dwight  2
4416  dwindl  11
4417  dwva  3
4418  dwyer  1
4419  dy  5
4420  dye  2
4421  dygalo  2
4422  dynam  4
4423  dynamit  4
4424  dynamitetip  4
4425  dynasti  1
4426  dysfunct  1
4427  e  9
4428  each  8
4429  eager  18
4430  eagl  1
4431  eagleton  1
4432  eaker  1
4433  eantwar  1
4434  ear  7
4435  eardrum  2
4436  earli  180
4437  earlier  188
4438  earliest  7
4439  earlyseason  1
4440  earmark  8
4441  earn  22
4442  earnest  5
4443  earshot  1
4444  earth  29
4445  earthmov  3
4446  earthquak  110
4447  earthquakedriven  1
4448  earthquakeravag  1
4449  earthquakestricken  1
4450  earthquaketrigg  2
4451  eas  27
4452  easi  34
4453  easier  12
4454  easiest  2
4455  easili  25
4456  easley  1
4457  east  127
4458  eastern  40
4459  eat  15
4460  eaten  2
4461  eavesdrop  1
4462  eb  3
4463  ebb  5
4464  ebri  1
4465  eccel  1
4466  echeverria  1
4467  echo  28
4468  eclips  2
4469  ecolog  1
4470  ecologist  1
4471  ecommerc  1
4472  econolin  1
4473  econom  83
4474  economi  73
4475  economist  12
4476  ecstat  1
4477  ecuador  10
4478  ecuadorian  1
4479  ed  12
4480  edberg  1
4481  edg  46
4482  edgar  1
4483  edict  1
4484  edific  1
4485  edikipa  1
4486  edinburgh  1
4487  edit  16
4488  editor  16
4489  editori  16
4490  editorinchief  1
4491  edmond  32
4492  edmund  25
4493  edmundo  1
4494  edt  13
4495  eduard  1
4496  eduardo  1
4497  educ  37
4498  edward  6
4499  edwardo  1
4500  edwin  2
4501  eeri  2
4502  eerili  1
4503  effect  76
4504  effici  4
4505  effort  185
4506  effortlessli  1
4507  eg  1
4508  egg  5
4509  egoavil  3
4510  egotist  2
4511  egregi  1
4512  egypt  26
4513  egyptian  31
4514  ehud  8
4515  eight  104
4516  eightday  2
4517  eighteenmonthold  1
4518  eighth  15
4519  eighthcenturi  1
4520  eighthseed  6
4521  eighti  2
4522  eightman  1
4523  eightmemb  1
4524  eightmonth  1
4525  eightvolum  1
4526  eightyear  3
4527  eightyseven  2
4528  eightyyearold  1
4529  eisenhow  3
4530  either  60
4531  eject  2
4532  ekra  1
4533  el  68
4534  elabor  24
4535  elana  1
4536  elast  1
4537  elat  1
4538  elattar  1
4539  elayn  1
4540  elbaum  1
4541  elbow  7
4542  elder  6
4543  elderli  5
4544  eldest  3
4545  elect  298
4546  electionday  1
4547  electionnight  1
4548  elector  80
4549  electr  42
4550  electrician  3
4551  electricpow  1
4552  electrifi  1
4553  electrocut  1
4554  electron  11
4555  eleg  5
4556  element  21
4557  elementari  2
4558  elena  6
4559  elev  4
4560  eleven  12
4561  elia  4
4562  eliac  1
4563  elier  1
4564  elig  10
4565  elimin  32
4566  elit  7
4567  elizabeth  7
4568  ellen  5
4569  elli  2
4570  elliot  2
4571  ellips  2
4572  ellipt  1
4573  ellwood  1
4574  elmisri  1
4575  elnhandcount  1
4576  elnleg  1
4577  elnmilitari  1
4578  elnrdp  1
4579  elong  1
4580  els  34
4581  elsewher  55
4582  elsheikh  3
4583  elsirri  1
4584  elton  1
4585  elud  12
4586  elus  4
4587  em  2
4588  email  7
4589  eman  1
4590  emanuel  1
4591  embargo  31
4592  embark  4
4593  embarrass  10
4594  embassi  116
4595  embattl  9
4596  embed  1
4597  embellish  1
4598  emblemat  1
4599  embrac  20
4600  embroil  1
4601  emerg  109
4602  emerson  2
4603  emigr  7
4604  emil  5
4605  emili  2
4606  emilio  2
4607  emin  2
4608  emir  7
4609  emiss  1
4610  emissari  1
4611  emit  1
4612  emkne  1
4613  emmanuel  3
4614  emot  47
4615  empathet  1
4616  empathi  1
4617  emperor  4
4618  emphas  9
4619  emphasi  7
4620  emphat  5
4621  empir  6
4622  employ  19
4623  employe  50
4624  empow  2
4625  empti  14
4626  emul  3
4627  en  32
4628  enabl  10
4629  enact  4
4630  encircl  1
4631  enclos  1
4632  encor  1
4633  encount  15
4634  encourag  33
4635  end  268
4636  endang  5
4637  enddat  2
4638  endear  1
4639  endeavor  3
4640  endem  1
4641  endoftheyear  2
4642  endors  12
4643  endur  18
4644  enemi  46
4645  energ  3
4646  energet  1
4647  energi  29
4648  enforc  44
4649  engag  25
4650  engend  2
4651  engin  50
4652  engineerman  1
4653  engineman  1
4654  engineroom  2
4655  england  2
4656  english  13
4657  englishderiv  1
4658  englishlanguag  3
4659  englishspeak  4
4660  engrav  1
4661  engulf  7
4662  enhanc  5
4663  enigmat  1
4664  enjoin  1
4665  enjoy  19
4666  enlarg  4
4667  enlist  12
4668  enmesh  1
4669  enmiti  2
4670  enorm  27
4671  enough  136
4672  enqvist  1
4673  enrag  2
4674  enrich  1
4675  ensembl  2
4676  ensign  4
4677  ensnar  2
4678  ensu  9
4679  ensul  1
4680  ensur  34
4681  entail  1
4682  entangl  1
4683  enter  64
4684  enterpris  4
4685  entertain  5
4686  enthusiasm  8
4687  enthusiast  7
4688  entic  4
4689  entir  44
4690  entireti  1
4691  entiti  2
4692  entitl  6
4693  entomb  4
4694  entourag  3
4695  entranc  7
4696  entrench  2
4697  entrepreneur  2
4698  entrepreneuri  2
4699  entrepreneurship  5
4700  entri  3
4701  entrust  1
4702  envelop  1
4703  envi  1
4704  environ  8
4705  environment  11
4706  environmentalist  3
4707  envis  2
4708  envisag  1
4709  envoy  7
4710  epa  1
4711  epicent  31
4712  epicmra  2
4713  epidem  2
4714  epiphani  1
4715  episcop  3
4716  episod  2
4717  equal  20
4718  equanim  1
4719  equip  88
4720  equival  12
4721  er  2
4722  era  43
4723  eras  11
4724  erect  7
4725  erena  1
4726  eri  3
4727  eric  6
4728  erinson  1
4729  erlang  1
4730  ernesto  4
4731  erni  4
4732  erod  8
4733  eros  4
4734  errand  1
4735  errat  8
4736  erron  3
4737  error  47
4738  errorpron  1
4739  errrr  1
4740  erupt  18
4741  es  5
4742  esam  1
4743  escal  9
4744  escap  85
4745  escape  28
4746  escort  10
4747  escud  3
4748  especi  74
4749  espehello  1
4750  espi  6
4751  espionag  34
4752  espitia  1
4753  espo  1
4754  espous  1
4755  essay  3
4756  essenc  3
4757  essenti  16
4758  est  1
4759  establish  49
4760  estat  18
4761  estim  63
4762  estrada  1
4763  estrang  1
4764  et  3
4765  etar  1
4766  etcetera  1
4767  ethan  2
4768  ethic  7
4769  ethiopia  1
4770  ethnic  34
4771  ethnocentr  2
4772  etoge  1
4773  eu  8
4774  eugen  4
4775  eulog  3
4776  euphor  1
4777  euphoria  6
4778  europ  50
4779  european  52
4780  evacu  24
4781  evad  7
4782  evalu  11
4783  evan  5
4784  evanel  1
4785  evapor  3
4786  evas  14
4787  eve  62
4788  evelyn  2
4789  even  311
4790  evenh  1
4791  evenhand  4
4792  evenli  5
4793  event  85
4794  eventu  45
4795  ever  106
4796  everett  1
4797  everi  92
4798  evershrink  2
4799  eversinc  1
4800  evert  11
4801  everworsen  1
4802  everybodi  20
4803  everyday  10
4804  everyon  57
4805  everyth  77
4806  everywher  18
4807  evi  4
4808  evict  2
4809  evid  130
4810  evidenc  1
4811  evidencegath  1
4812  evil  2
4813  evoc  1
4814  evok  1
4815  evolut  3
4816  ewe  4
4817  ex  1
4818  exacerb  1
4819  exact  8
4820  exactli  37
4821  exagger  4
4822  exalt  1
4823  exam  4
4824  examin  47
4825  exampl  40
4826  exasper  2
4827  excabinet  1
4828  excav  12
4829  exceed  5
4830  exceedingli  1
4831  excel  5
4832  except  27
4833  excerpt  5
4834  excess  2
4835  exchang  23
4836  excia  2
4837  excit  9
4838  exclaim  1
4839  exclam  2
4840  exclud  20
4841  exclus  20
4842  exclusion  2
4843  exclusionari  1
4844  excruci  1
4845  excus  7
4846  execut  71
4847  exemplari  1
4848  exemplifi  1
4849  exempt  2
4850  exercis  22
4851  exhaust  26
4852  exhibit  3
4853  exhilar  1
4854  exhort  2
4855  exhous  1
4856  exhusband  3
4857  exil  41
4858  exintellig  7
4859  exintern  1
4860  exist  20
4861  exit  25
4862  exlead  1
4863  exnew  3
4864  exocet  1
4865  exodu  3
4866  exoner  1
4867  expand  18
4868  expans  5
4869  expatri  3
4870  expect  187
4871  expectantli  1
4872  expedi  2
4873  expedit  4
4874  expel  5
4875  expenditur  2
4876  expens  21
4877  experi  46
4878  experienc  8
4879  expert  118
4880  expertis  8
4881  expir  9
4882  explain  35
4883  explan  13
4884  explicit  4
4885  explicitli  6
4886  explod  43
4887  exploit  7
4888  explor  13
4889  explos  222
4890  explosivesladen  3
4891  explosivespack  1
4892  export  19
4893  exportimport  1
4894  expos  8
4895  expossess  2
4896  expresid  7
4897  express  74
4898  expressnew  1
4899  expuls  1
4900  exquisit  1
4901  exsaudi  1
4902  exspi  12
4903  extend  38
4904  extens  34
4905  extent  27
4906  exterior  3
4907  extern  14
4908  extinct  2
4909  extinguish  2
4910  extol  2
4911  extort  4
4912  extra  20
4913  extract  6
4914  extradit  33
4915  extraleg  1
4916  extraordinari  12
4917  extraordinarili  2
4918  extravag  2
4919  extrem  21
4920  extremist  17
4921  extric  2
4922  exuber  1
4923  exud  1
4924  exult  1
4925  exwif  9
4926  eyadema  1
4927  eyal  1
4928  eye  61
4929  eyebal  1
4930  eyelid  1
4931  eyesburn  1
4932  eyewit  10
4933  eyewitnesss  1
4934  f  15
4935  f105  5
4936  f105d  1
4937  f22  1
4938  fa  1
4939  faa  1
4940  fabiani  1
4941  fabric  5
4942  facad  4
4943  face  179
4944  faceoff  2
4945  facetofac  1
4946  facial  1
4947  facil  45
4948  facilit  4
4949  fact  108
4950  factbook  4
4951  factfind  1
4952  faction  13
4953  facto  2
4954  factor  23
4955  factori  20
4956  factual  1
4957  fade  23
4958  fadeyev  1
4959  fagan  1
4960  fahrenheit  1
4961  fail  115
4962  failur  16
4963  faint  6
4964  faintli  1
4965  fair  45
4966  fairfax  1
4967  fairleigh  1
4968  fairli  16
4969  fairskin  1
4970  faisal  1
4971  faith  8
4972  faithbas  1
4973  faithless  1
4974  fake  10
4975  fall  68
4976  fallen  27
4977  fallout  1
4978  faln  1
4979  fals  30
4980  falsif  1
4981  falsifi  5
4982  falter  4
4983  fame  6
4984  famili  213
4985  familiar  17
4986  famou  4
4987  fan  10
4988  fanci  1
4989  fanfar  2
4990  far  178
4991  faraway  3
4992  farc  2
4993  fare  1
4994  farera  1
4995  farewel  16
4996  farflung  3
4997  farid  1
4998  farina  3
4999  farinella  1
5000  farm  9
5001  farmer  8
5002  farmington  1
5003  farrier  1
5004  farther  2
5005  farthest  2
5006  fascin  5
5007  fascist  3
5008  fashion  7
5009  faso  8
5010  fast  22
5011  faster  11
5012  fastest  2
5013  fastfad  1
5014  fastfood  1
5015  fat  2
5016  fatal  8
5017  fatalist  1
5018  fate  32
5019  father  76
5020  fatherinlaw  1
5021  fatherless  1
5022  fatigu  7
5023  fatwa  1
5024  fault  20
5025  faulti  1
5026  favor  49
5027  favorit  14
5028  faw  1
5029  fax  14
5030  fay  1
5031  fayettevil  1
5032  fbi  117
5033  fbile  1
5034  fbiyemeni  1
5035  fda  1
5036  fear  108
5037  fearless  4
5038  fearmong  1
5039  feasibl  4
5040  feast  1
5041  feat  8
5042  featur  19
5043  feb  2
5044  februari  3
5045  fed  15
5046  feder  138
5047  federalist  1
5048  federico  11
5049  fee  5
5050  feed  14
5051  feel  118
5052  feet  61
5053  fehn  2
5054  feign  1
5055  feingold  1
5056  feinstein  3
5057  felix  9
5058  fell  66
5059  fellow  38
5060  fellowstud  1
5061  felon  4
5062  feloni  13
5063  felt  80
5064  femal  13
5065  feminist  1
5066  fenc  6
5067  fend  2
5068  ferdinand  1
5069  ferment  1
5070  fernand  5
5071  fernandez  1
5072  fernando  5
5073  feroci  1
5074  ferraro  1
5075  ferreira  3
5076  ferrer  1
5077  ferrero  12
5078  ferret  2
5079  ferri  4
5080  fertil  3
5081  fervor  5
5082  fest  1
5083  festiv  8
5084  fetch  1
5085  fever  6
5086  feverish  1
5087  few  7
5088  fewer  17
5089  fewest  1
5090  fhimah  1
5091  fiance  1
5092  fiberglass  9
5093  fiction  2
5094  fictiti  3
5095  fidel  5
5096  fidelia  2
5097  fidget  2
5098  fie  1
5099  fiefdom  2
5100  field  49
5101  fierc  16
5102  fieri  3
5103  fierrera  1
5104  fife  2
5105  fifteen  3
5106  fifteenth  1
5107  fifth  34
5108  fifthseed  2
5109  fifthset  1
5110  fifti  1
5111  fiftythre  1
5112  fight  76
5113  fighter  14
5114  figur  93
5115  fijimori  1
5116  file  40
5117  filipov  1
5118  fill  60
5119  fillmor  1
5120  film  8
5121  filter  1
5122  filth  1
5123  final  198
5124  finalhour  1
5125  finalist  5
5126  financ  40
5127  financi  63
5128  find  214
5129  fine  43
5130  finest  5
5131  finger  10
5132  fingerpoint  3
5133  fingerprint  5
5134  fingertip  1
5135  finish  57
5136  finit  2
5137  fink  3
5138  finland  2
5139  finsburi  1
5140  fir  4
5141  fire  124
5142  firearm  12
5143  firebal  1
5144  firebomb  1
5145  firebreath  1
5146  firecrack  2
5147  firefight  6
5148  fireman  4
5149  firepow  2
5150  fireston  1
5151  firestorm  1
5152  firework  5
5153  firm  32
5154  firmer  1
5155  firmli  11
5156  first  433
5157  firstclass  1
5158  firstdegre  1
5159  firsthand  1
5160  firstli  1
5161  firstround  16
5162  firstset  4
5163  firstterm  2
5164  firsttim  2
5165  fiscal  3
5166  fischer  2
5167  fish  10
5168  fisheri  1
5169  fisherman  2
5170  fishermen  5
5171  fissur  1
5172  fist  7
