325
t_index	 tf-idf
10  0.018278523146789544
78  0.017188242485875745
174  0.025324719030523364
193  0.01621295320074678
299  0.02975395330527042
312  0.0275215916987932
319  0.03111101573657408
325  0.0217027582748474
397  0.03462383227468244
526  0.0275215916987932
636  0.023233110567421535
890  0.022926230970518713
896  0.03135787534493887
907  0.03063620978006557
947  0.04677033058347
1000  0.04646622113484307
1005  0.020544162272787693
1014  0.08648572969289868
1015  0.19953979465896948
1039  0.038556842889887366
1074  0.03971543889194707
1077  0.05868495453082196
1087  0.026142016033747405
1112  0.015419704014712647
1170  0.05195051861078514
1193  0.04988494866474237
1215  0.04988494866474237
1222  0.02975395330527042
1261  0.019514581414366673
1273  0.436908011422195
1283  0.030870568796779404
1291  0.05461350142777437
1295  0.06478301120056967
1299  0.007692243260950314
1309  0.05836676490567741
1333  0.021598204348732452
1343  0.028387333117092062
1353  0.016611151657582767
1415  0.03971543889194707
1432  0.039118026021000604
1443  0.05461350142777437
1490  0.04346870236985011
1496  0.026142016033747405
1513  0.08018981919735772
1517  0.02975395330527042
1575  0.1351567280364739
1630  0.015925157376585796
1637  0.033937837993685466
1644  0.02469476944168181
1681  0.05900788524702248
1683  0.02110534540390093
1695  0.039118026021000604
1762  0.04988494866474237
1779  0.010348759653149327
1849  0.03536476254309757
1867  0.027858235587291506
1900  0.03492588354901119
1970  0.05836676490567741
1976  0.03607615241398974
2000  0.024470159437676133
2004  0.03299566747988094
2045  0.02272715476645087
2105  0.07033049660139011
2136  0.027357752258671045
2146  0.0275215916987932
2244  0.05395708232505905
2338  0.044443991654979066
2377  0.04346870236985011
2467  0.05189143781573921
2513  0.02934247726541098
2590  0.030661112450234812
2610  0.028757649966370327
2642  0.034986886128915075
2656  0.02719676234503307
2823  0.018779006475410004
2926  0.03802774536008681
2961  0.05836676490567741
2981  0.026729939732452572
3012  0.016360277584372647
3057  0.04079645534428459
3061  0.03361300863992534
3078  0.05195051861078514
3092  0.021615016511648648
3140  0.06149349904602886
3178  0.026336394475165708
3284  0.020701059023984104
3305  0.026000689827367383
3388  0.02023812822845095
3481  0.018186658341053374
3640  0.05195051861078514
3644  0.05195051861078514
3751  0.008109013373994244
3784  0.030573023959910267
3873  0.03161149906519454
3960  0.04346870236985011
3963  0.01456594846719466
3968  0.03299566747988094
3991  0.03971543889194707
4034  0.01611602365842077
4330  0.04178100883798983
4342  0.039118026021000604
4408  0.042586445895054954
4512  0.03462383227468244
4513  0.03299566747988094
4574  0.12956602240113935
4594  0.04156103210028161
4635  0.013028996318024424
4759  0.028757649966370327
4789  0.03495463928360103
4795  0.021615016511648648
4846  0.05064943806104673
4889  0.014772119277251304
4920  0.038556842889887366
4942  0.05195051861078514
4947  0.05909185823830354
4955  0.037052456074957836
5120  0.04553427231589287
5156  0.008588093949239883
5290  0.015025742997506968
5309  0.02820758597979017
5315  0.0305085293183859
5327  0.03232872311575089
5349  0.013028996318024424
5369  0.05909185823830354
5371  0.014284812729091836
5375  0.028100907424756006
5437  0.040354084288577736
5507  0.040354084288577736
5511  0.044443991654979066
5720  0.03752726203146634
5768  0.053188221215486775
5772  0.05461350142777437
5877  0.14504421292578693
6015  0.05836676490567741
6111  0.038556842889887366
6124  0.031109681054615056
6137  0.05836676490567741
6187  0.011592208489351195
6215  0.04553427231589287
6235  0.0481972551328821
